id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights
360,Shaw,3/23/2013,F,0.94,2,Entire home/apt,4,1 bath,1,2,168,1
362,Georgetown,9/10/2014,F,1,6,Entire home/apt,2,1 bath,1,1,250,31
363,Capitol Hill,2/7/2016,T,0.99,1,Entire home/apt,4,1 bath,1,2,185,2
365,Foggy Bottom,2/10/2016,F,1,6,Entire home/apt,4,1 bath,1,2,146,1
366,Capitol Hill,2/10/2016,T,0.99,1,Entire home/apt,2,1 bath,,1,151,3
368,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,240,31
369,Union Station,6/20/2014,T,1,1,Entire home/apt,2,1 bath,,1,65,31
370,Union Station,10/11/2015,F,1,5,Private room,2,1 private bath,,1,138,2
373,Capitol Hill,1/6/2016,T,1,18,Entire home/apt,4,1 bath,1,2,561,31
377,Capitol Hill,12/23/2015,T,0.74,1,Entire home/apt,6,3.5 baths,4,4,200,31
378,Georgetown,3/12/2016,F,0.88,1,Entire home/apt,3,1 bath,1,1,200,31
382,Dupont Circle,6/15/2015,T,0.77,4,Entire home/apt,9,3 baths,4,5,1228,4
383,Union Station,3/16/2016,T,1,3,Entire home/apt,4,2.5 baths,2,2,221,2
384,Foggy Bottom,2/10/2016,F,1,6,Entire home/apt,4,1 bath,1,2,152,1
385,Foggy Bottom,2/10/2016,F,1,6,Entire home/apt,4,1 bath,1,1,185,1
387,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,6,1.5 baths,2,3,315,31
389,Foggy Bottom,5/11/2013,F,,1,Entire home/apt,1,1 bath,,1,200,31
390,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,224,31
391,Shaw,1/13/2013,F,,2,Private room,1,1 bath,1,1,100,31
394,Dupont Circle,4/27/2013,F,0,5,Entire home/apt,3,1 bath,1,1,102,31
397,Capitol Hill,4/5/2016,T,1,1,Entire home/apt,3,1 bath,1,1,115,3
400,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,,2,178,31
401,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,2,1 bath,,1,178,31
402,Capitol Hill,4/24/2012,T,1,1,Entire home/apt,2,1 bath,1,2,98,3
