listing_id,total_reviews,avg_rating
1251,75,4.9
1252,152,4.93
1253,113,4.92
1254,31,4.97
1255,154,4.88
1256,186,4.79
1257,133,4.9
1258,11,4.82
1259,10,4.9
1260,7,5
1261,154,4.79
1262,396,4.78
1263,407,4.82
1264,372,4.78
1265,75,4.63
1266,12,4.33
1267,141,4.96
1268,2,4.5
1269,1,5
1270,95,4.73
1271,69,4.99
1272,7,4.57
1273,181,4.76
1274,324,4.82
1275,270,4.95
1276,104,4.78
1277,86,4.84
1278,133,4.71
1279,31,4.81
1280,129,4.95
1281,75,4.73
1282,6,4.83
1283,20,4.8
1284,144,4.89
1285,27,4.96
1286,314,4.97
1287,197,4.78
1288,19,4.95
1289,82,4.77
1290,178,4.97
1291,9,5
1292,181,4.96
1293,7,4.71
1294,69,4.35
1295,1,1
1296,80,4.84
1297,42,4.86
1298,58,4.98
1299,115,4.95
1300,89,4.82
1301,19,4.89
1302,29,4.79
1303,12,5
1304,9,4.56
1305,14,4.71
1306,44,4.8
1307,8,4
1308,6,4.83
1309,21,4.62
1310,161,4.95
1311,170,4.91
1312,11,4.45
1313,3,4
1314,4,4.25
1315,4,3.5
1316,3,3.67
1317,12,4.7
1318,186,4.9
1319,110,4.91
1320,341,
1321,1,4
1322,20,4.68
1323,196,4.35
1324,55,4.42
1325,90,4.87
1326,73,4.79
1327,20,5
1328,232,4.96
1329,10,4.6
1330,132,4.8
1331,1,4
1332,7,5
1333,5,4.8
1334,1,4
1335,6,4.67
1336,28,4.68
1337,5,4.6
1338,23,4.3
1339,16,4.25
1340,10,3.9
1341,111,4.91
1342,90,4.94
1343,124,4.72
1344,133,4.72
1345,124,4.85
1346,110,4.65
1347,108,4.74
1348,154,4.73
1349,244,4.65
1350,164,4.77
1351,1,5
1352,181,4.89
1353,42,4.95
1354,87,4.77
1355,16,4.63
1356,124,4.78
1357,172,4.91
1358,59,4.93
1359,2,3
1360,360,4.85
1361,123,4.97
1362,68,4.79
1363,121,
1364,6,
1365,50,4.84
1366,90,4.93
1367,17,4.81
1368,2,5
1369,53,4.98
1370,102,4.97
1371,192,4.92
1372,32,4.9
1373,117,4.91
1374,8,4.13
1375,161,5
1376,215,4.98
1377,2,4
1378,2,5
1379,1,4
1380,148,4.97
1381,15,4.93
1382,4,5
1383,32,4.94
1384,24,4.92
1385,3,5
1386,1,5
1387,4,4.75
1388,1,5
1389,97,4.9
1390,1,5
1391,29,4.52
1392,165,4.96
1393,116,4.89
1394,30,4.93
1395,72,4.78
1396,52,4.52
1397,81,4.84
1398,6,5
1399,7,4.86
1400,1,3
1401,165,4.7
1402,171,4.63
1403,153,4.7
1404,206,4.8
1405,1,5
1406,130,4.68
1407,130,4.98
1408,113,4.96
1409,13,4.62
1410,170,4.68
1411,35,4.74
1412,363,4.99
1413,1,5
1414,52,4.69
1415,457,4.86
1416,25,4.72
1417,197,4.92
1418,205,4.88
1419,26,4.96
1420,55,4.8
1421,67,4.96
1422,94,4.97
1423,13,4.54
1424,50,4.92
1425,29,4.59
1426,7,5
1427,23,4.91
1428,57,4.86
1429,2,5
1430,1,4
1431,25,4.56
1432,14,4.64
1433,159,4.91
1434,9,4.67
1435,292,4.92
1436,224,4.95
1437,159,4.81
1438,1,
1439,33,4.45
1440,1,2
1441,3,5
1442,127,4.33
1443,3,4
1444,92,4.67
1445,87,4.75
1446,381,4.94
1447,78,4.68
1448,1,4
1449,59,4.92
1450,220,4.87
1451,24,
1452,90,4.49
1453,84,4.95
1454,129,4.98
1455,1,4
1456,29,4.93
1457,30,4.3
1458,29,5
1459,1,5
1460,50,4.68
1461,1,5
1462,166,4.9
1463,79,4.84
1464,7,4.71
1465,1,5
1466,121,4.8
1467,1,1
1468,37,4.97
1469,7,4.86
1470,320,4.93
1471,130,4.98
1472,25,4.88
1473,113,4.82
1474,1,5
1475,105,4.76
1476,2,5
1477,5,4.6
1478,191,4.9
1479,16,
1480,8,5
1481,49,4.55
1482,5,3.8
1483,184,4.41
1484,16,4.63
1485,11,4.64
1486,1,5
1487,12,4.08
1488,5,4.8
1489,16,4.38
1490,205,4.86
1491,9,4.89
1492,15,4.93
1493,17,4.94
1494,99,4.38
1495,31,4.77
1496,38,4
1497,119,4.95
1498,235,4.96
1499,4,5
1500,78,4.86
1501,228,4.95
1502,60,4.75
1503,238,4.81
1504,99,4.97
1505,58,4.69
1506,6,4.83
1507,1,5
1508,4,4
1509,25,4.25
1510,45,4.91
1511,40,4.13
1512,48,4.65
1513,17,4.65
1514,7,4.57
1515,10,5
1516,1,5
1517,2,5
1518,3,4.33
1519,38,4.92
1520,1,5
1521,2,5
1522,1,
1523,74,
1524,2,
1525,107,4.93
1526,40,4.83
1527,117,4.97
1528,122,4.95
1529,92,4.95
1530,1,4
1531,1,5
1532,1,2
1533,72,4.82
1534,9,4.22
1535,168,4.92
1536,14,3.71
1537,23,4.59
1538,17,4.53
1539,10,4.2
1540,26,4.69
1541,5,4.8
1542,1,5
1543,1,4
1544,9,4.89
1545,43,5
1546,64,4.92
1547,46,4.87
1548,2,5
1549,111,4.87
1550,3,5
1551,169,4.88
1552,99,4.55
1553,1,1
1554,6,4.17
1555,189,4.74
1556,1,4
1557,5,4.2
1558,1,5
1559,147,4.81
1560,47,4.83
1561,1,5
1562,1,5
1563,56,5
1564,1,5
1565,104,4.9
1566,1,4
1567,31,5
1568,1,4
1569,1,5
1570,54,4.76
1571,79,4.59
1572,27,4.81
1573,80,4.75
1574,113,4.68
1575,123,4.72
1576,26,5
1577,199,4.94
1578,186,4.73
1579,11,4.82
1580,2,5
1581,7,4.86
1582,34,4.91
1583,81,4.72
1584,119,4.76
1585,14,5
1586,1,5
1587,152,4.71
1588,178,4.65
1589,64,4.58
1590,10,4.9
1591,102,4.98
1592,116,4.94
1593,1,4
1594,20,4.25
1595,6,4.17
1596,80,4.95
1597,4,5
1598,21,4.57
1599,2,3.5
